"Gene-ontology enrichment of the Tier-1 (diploSHIC-only, Markov-corrected) sweep genes"
GO id,term (biological process),genes (T1/bg),fold,FDR
GO:0048699,generation of neurons,123/1441,1.59,2.0x10^-4
GO:0022008,neurogenesis,125/1508,1.54,2.6x10^-4
GO:0030182,neuron differentiation,91/1075,1.57,1.6x10^-3
GO:0030154,cell differentiation,186/2548,1.36,5.4x10^-4
GO:0009887,animal organ morphogenesis,96/1115,1.60,8.9x10^-4
GO:0050767,regulation of neurogenesis,66/693,1.77,1.3x10^-3
GO:0000902,cell morphogenesis,72/775,1.73,1.3x10^-3
GO:0007409,axonogenesis,45/463,1.81,1.0x10^-2
GO:0048858,cell projection morphogenesis,59/609,1.80,1.6x10^-3
GO:0051252,regulation of RNA metabolic process,145/1920,1.40,1.3x10^-3
GO:2001141,regulation of RNA biosynthetic process,135/1768,1.42,1.6x10^-3
