division,date,source,depth_m,n_this_study,n_baker2025
3K,16 August 2023,Recreational jig,3,48,48
3K,30 August 2023,Coastal fishery jig,5,54,46
4S,28 August 2023,Canadian trawl survey,228,2,2
4S,29 August 2023,Canadian trawl survey,251,1,1
4S,30 August 2023,Canadian trawl survey,80,1,1
4S,30 August 2023,Canadian trawl survey,124,2,2
4S,31 August 2023,Canadian trawl survey,152,2,1
4S,31 August 2023,Canadian trawl survey,155,3,3
4S,1 September 2023,Canadian trawl survey,273,1,1
4S,1 September 2023,Canadian trawl survey,296,1,1
4S,3 September 2023,Canadian trawl survey,243,2,2
4R,7 August 2023,Canadian trawl survey,113,36,24
4R,25 August 2023,Canadian trawl survey,173,2,2
4R,25 August 2023,Canadian trawl survey,233,5,4
4R,25 August 2023,Canadian trawl survey,245,9,7
4R,28 August 2023,Canadian trawl survey,221,4,3
4T,2 September 2023,Canadian trawl survey,243,1,0
4T,7 September 2023,Canadian trawl survey,27,1,1
4T,8 September 2023,Canadian trawl survey,49,1,0
4T,9 September 2023,Canadian trawl survey,112,1,0
4T,9 September 2023,Canadian trawl survey,183,1,0
4T,9 September 2023,Canadian trawl survey,306,1,0
4T,10 September 2023,Canadian trawl survey,81,1,1
4T,10 September 2023,Canadian trawl survey,101,1,1
4T,10 September 2023,Canadian trawl survey,285,1,0
4T,12 September 2023,Canadian trawl survey,285,1,0
4T,15 September 2023,Canadian trawl survey,50,1,1
4T,22 September 2023,Canadian trawl survey,39,1,1
4T,22 September 2023,Canadian trawl survey,142,2,1
4T,22 September 2023,Canadian trawl survey,158,1,1
4T,23 September 2023,Canadian trawl survey,341,2,2
4T,24 September 2023,Canadian trawl survey,118,1,0
4T,27 September 2023,Canadian trawl survey,36,1,0
4T,28 September 2023,Canadian trawl survey,56,1,1
4T,28 September 2023,Canadian trawl survey,62,1,1
4T,29 September 2023,Canadian trawl survey,49,2,1
3O,13 October 2023,Canadian trawl survey,204,14,7
3O,14 October 2023,Canadian trawl survey,350,1,1
3O,14 October 2023,Canadian trawl survey,613,1,1
4W,16 July 2023,Canadian trawl survey,84,47,43
4X,July 2022,Canadian trawl survey,not recorded,94,76
3N,20 October 2023,Canadian trawl survey,160,1,1
6A,22 September 2022,US trawl survey,120,95,84
6B,18 June 2023,Commercial trawl,74,49,46
6B,16 August 2023,Commercial trawl,201,48,48
6C,14 September 2022,US trawl survey,307,87,73
