Software and versions
Tool (version),Used for,Reference
msinv 0.3.5,chr2 inversion age/decline (inversion),;
ANGSD 0.940,"SFS, , diversity (demography, diversity)",
Stairway Plot 2 (2.1.1),demography,
GONE2 1.0.4,recent demography,
moments 1.6.0,demographic inference (demography),
demes 0.2.3,demography interchange,
ReLERNN 0.2,recombination map,
diploSHIC 1.1.0,sweep scan,
RAiSD (0c705a8),sweep corroboration (sweep scan),
SLiM 5.2,forward simulation,
msprime 1.4.2,"coalescent sim, mutation overlay",
tskit 1.0.3,tree-sequence I/O,
discoal 0.1.7a,sweep-sim validation,
pg_gpu 0.1.1.dev14,"windowed pi/dXY/FST, PCA",
mkado 0.5.0,McDonald-Kreitman,
DIAMOND 2.1.12,"homology (inversion, sweep scan)",
HMMER 3.4,Pfam domain screen,
Pfam-A,domain screen,
AnchorWave 1.2.3,. illecebrosus alignment,
minimap2 2.29,alignment,
est-sfs 2.04,ancestral polarisation,
degenotate 1.3,0-/4-fold degeneracy,
bedtools 2.30.0,interval operations,
bcftools/samtools 1.21,VCF/BAM handling,
EarlGrey 7.0.1,TE annotation,
StringTie 3.0.0,transcript assembly,
SQANTI3,Iso-Seq QC,
