region	part	dist	n_pairs	mean_r2	frac_r2_gt_0_2
chr2inv_control	block	0-10kb	973	0.022793522678177705	0.02877697841726619
chr2inv_control	block	10-100kb	6511	0.006051821414839696	0.0
chr2inv_control	block	100-1000kb	59726	0.005742978366496164	0.00016743126946388507
chr2inv_control	block	1000-infkb	489830	0.005624770864648279	0.00012453300124533
chr2inv_control	flank	0-10kb	302	0.016228344807857203	0.019867549668874173
chr2inv_control	flank	10-100kb	1774	0.0020167400764421815	0.0
chr2inv_control	flank	100-1000kb	13728	0.0015673734725669282	0.0
chr2inv_control	flank	1000-infkb	82542	0.0015785559833724136	4.8460177848852704e-05
chr1_24_31	block	0-10kb	3989	0.01192594700809464	0.011030333416896465
chr1_24_31	block	10-100kb	22592	0.0022744366180259875	0.0001327903682719547
chr1_24_31	block	100-1000kb	201777	0.0017523363510277812	9.911932479915946e-05
chr1_24_31	block	1000-infkb	614693	0.0017165385161522326	9.272921604768559e-05
chr1_24_31	flank	0-10kb	145	0.01346612109707801	0.006896551724137931
chr1_24_31	flank	10-100kb	876	0.0040339416528240276	0.0
chr1_24_31	flank	100-1000kb	6234	0.0018940328465737075	0.0
chr1_24_31	flank	1000-infkb	12845	0.0015328903815203974	7.785130400934215e-05
chr30_17_18	block	0-10kb	24329	0.004854539403549128	0.004192527436392782
chr30_17_18	block	10-100kb	167004	0.001860138346740078	1.1975761059615339e-05
chr30_17_18	block	100-1000kb	814379	0.0018465592659716906	1.2279295021114249e-05
chr30_17_18	block	1000-infkb	8888	0.001732518689473825	0.0
chr30_17_18	flank	0-10kb	850	0.004654629055611092	0.0058823529411764705
chr30_17_18	flank	10-100kb	609	0.0019591420046510604	0.0
chr30_17_18	flank	100-1000kb	216	0.001658127273806465	0.0
chr30_17_18	flank	1000-infkb	1100	0.0014392424037330165	0.0
chr23_0_6	block	0-10kb	6680	0.007212432199066231	0.005389221556886228
chr23_0_6	block	10-100kb	36037	0.002079508464597712	0.0
chr23_0_6	block	100-1000kb	294087	0.0019391736051892238	2.040212590151894e-05
chr23_0_6	block	1000-infkb	718074	0.0019423827098487244	8.355684790146977e-06
chr23_0_6	flank	0-10kb	99	0.007150790348793337	0.010101010101010102
chr23_0_6	flank	10-100kb	163	0.001793610416680245	0.0
chr23_0_6	flank	100-1000kb	206	0.0013300113425951897	0.0
chr23_0_6	flank	1000-infkb	613	0.001543127486532728	0.0
chr38_61_68	block	0-10kb	4904	0.005961069343250269	0.004282218597063622
chr38_61_68	block	10-100kb	30974	0.002008947111570186	0.0
chr38_61_68	block	100-1000kb	277975	0.001989840502164063	1.0792337440417303e-05
chr38_61_68	block	1000-infkb	730882	0.0019887629297519207	4.104629748714567e-06
chr38_61_68	flank	0-10kb	6	0.005439784773431151	0.0
chr38_61_68	flank	10-100kb	67	0.002803200318930613	0.0
chr38_61_68	flank	100-1000kb	445	0.0015264580202707242	0.0
chr38_61_68	flank	1000-infkb	913	0.001188728003863645	0.0
chr13_33_39	block	0-10kb	4354	0.012000504804282844	0.012861736334405145
chr13_33_39	block	10-100kb	26029	0.0017509072630746089	0.00015367474739713398
chr13_33_39	block	100-1000kb	240549	0.0017744954002007467	0.00020785785848205564
chr13_33_39	block	1000-infkb	519721	0.0017877710567574551	0.00018471449104423334
chr13_33_39	flank	0-10kb	280	0.018356541323690134	0.03571428571428571
chr13_33_39	flank	10-100kb	1521	0.0025692335351952056	0.0006574621959237344
chr13_33_39	flank	100-1000kb	9470	0.0014996149796385751	0.0
chr13_33_39	flank	1000-infkb	17890	0.0015452256593958004	0.0
chr35_60_65	block	0-10kb	5296	0.007764042803597747	0.006986404833836858
chr35_60_65	block	10-100kb	35701	0.0020560198664455074	8.403125962858183e-05
chr35_60_65	block	100-1000kb	311645	0.002005967949706093	7.380192205875275e-05
chr35_60_65	block	1000-infkb	680561	0.001991539577690771	8.08156800051722e-05
chr35_60_65	flank	0-10kb	63	0.008895944247719643	0.0
chr35_60_65	flank	10-100kb	160	0.004218768232764237	0.0
chr35_60_65	flank	100-1000kb	1100	0.002473092604288625	0.0
chr35_60_65	flank	1000-infkb	568	0.0021057458472027346	0.0017605633802816902
chr34_30_45	block	0-10kb	2987	0.011814416440864367	0.010713090056913292
chr34_30_45	block	10-100kb	8602	0.0020286770366124973	0.0
chr34_30_45	block	100-1000kb	66615	0.0019585325633263927	6.0046536065450724e-05
chr34_30_45	block	1000-infkb	507699	0.0019140197788858452	1.9696710058518926e-05
chr34_30_45	flank	0-10kb	290	0.012527783402141135	0.020689655172413793
chr34_30_45	flank	10-100kb	1730	0.0015445793480377114	0.0
chr34_30_45	flank	100-1000kb	13382	0.0014637174098502156	0.0
chr34_30_45	flank	1000-infkb	71334	0.0015281974494368278	7.00928028710012e-05
chr43_46_62	block	0-10kb	3337	0.008473818130351356	0.004495055439017081
chr43_46_62	block	10-100kb	8814	0.0019578526086541513	0.0
chr43_46_62	block	100-1000kb	74154	0.0019556480545089234	2.6970898400625724e-05
chr43_46_62	block	1000-infkb	615215	0.0019345732143130766	2.600716822574222e-05
chr43_46_62	flank	0-10kb	255	0.01730284219086645	0.0196078431372549
chr43_46_62	flank	10-100kb	1346	0.0015003279478017543	0.0
chr43_46_62	flank	100-1000kb	8304	0.0015299072685449069	0.00012042389210019268
chr43_46_62	flank	1000-infkb	39550	0.0015339336117088556	2.5284450063211126e-05
